time	cwndsize
0.00376259	2
0.00791434	3
0.00900403	4
0.0118261	5
0.0123537	6
0.0137921	7
0.0143044	8
0.0155078	9
0.0166373	10
0.0176559	11
0.0187376	12
0.0196829	13
0.0203445	14
0.0210767	15
0.0223939	16
0.0231899	17
0.0238726	18
0.0245538	19
0.0251402	20
0.0259971	21
0.0274896	22
0.0279118	23
0.0282504	24
0.0288136	25
0.029925	26
0.030283	27
0.0313752	28
0.0319042	29
0.0327068	30
0.0335089	31
0.0342234	32
0.0347993	33
0.0356323	34
0.0364975	35
0.0369986	36
0.0378275	37
0.0386789	38
0.0399183	39
0.0402264	40
0.0408941	41
0.0417681	42
0.0425762	43
0.0434223	44
0.0442818	45
0.0451258	46
0.0468218	47
0.0478684	48
0.0489554	49
0.05026	50
0.0511856	51
0.051852	52
0.0527526	53
0.0533069	54
0.0538654	55
0.0544203	56
0.0579797	57
0.0599187	58
0.06454	59
0.0715305	60
0.0836289	61
0.0842567	62
0.0847948	63
0.0853712	64
0.0865499	65
0.0874507	66
0.0883175	67
0.0891969	68
0.090117	69
0.0906625	70
0.0915711	71
0.0921756	72
0.0930662	73
0.0941156	74
0.0950287	75
0.0959413	76
0.0962374	77
0.0969845	78
0.0977813	79
0.0985466	80
0.0993271	81
0.100176	82
0.100939	83
0.101694	84
0.102464	85
0.103022	86
0.108006	87
0.121182	88
0.123812	89
0.124285	90
0.124902	91
0.125685	92
0.126141	93
0.126606	94
0.127631	95
0.128461	96
0.129542	97
0.130469	98
0.131047	99
0.132019	100
0.132908	101
0.133827	102
0.135317	103
0.135814	104
0.136168	105
0.136986	106
0.137607	107
0.138499	108
0.139382	109
0.140165	110
0.141058	111
0.141975	112
0.14276	113
0.14329	114
0.144342	115
0.14495	116
0.145898	117
0.146655	118
0.147617	119
0.148601	120
0.149543	121
0.150766	122
0.151582	123
0.152132	124
0.152849	125
0.153352	126
0.157845	127
0.171254	128
0.178888	129
0.179603	130
0.180157	131
0.180679	132
0.18147	133
0.182259	134
0.183101	135
0.18388	136
0.184671	137
0.185492	138
0.186349	139
0.187357	140
0.187876	141
0.188511	142
0.189319	143
0.190149	144
0.190914	145
0.191717	146
0.192534	147
0.193339	148
0.194186	149
0.195007	150
0.19586	151
0.196769	152
0.197456	153
0.19819	154
0.198954	155
0.199764	156
0.200542	157
0.201295	158
0.202113	159
0.202902	160
0.207698	161
0.222415	162
0.22633	163
0.227042	164
0.227688	165
0.228146	166
0.228631	167
0.229626	168
0.230587	169
0.231221	170
0.231927	171
0.232675	172
0.233645	173
0.234534	174
0.23514	175
0.235961	176
0.236652	177
0.237472	178
0.238369	179
0.238974	180
0.239832	181
0.240682	182
0.241457	183
0.242186	184
0.243116	185
0.243958	186
0.244601	187
0.245463	188
0.246358	189
0.24705	190
0.248033	191
0.249282	192
0.249792	193
0.250883	194
0.251522	195
0.252262	196
0.252763	197
0.253687	198
0.257939	199
0.269903	200
0.278147	201
0.278976	202
0.279542	203
0.28014	204
0.28074	205
0.281291	206
0.282395	207
0.282976	208
0.283478	209
0.284133	210
0.285146	211
0.285727	212
0.286348	213
0.287128	214
0.288581	215
0.289136	216
0.289612	217
0.289993	218
0.29038	219
0.291926	220
0.292341	221
0.292741	222
0.293686	223
0.294201	224
0.295042	225
0.295693	226
0.296531	227
0.297204	228
0.298035	229
0.298937	230
0.29982	231
0.300638	232
0.301412	233
0.302208	234
0.302764	235
0.307954	236
0.323317	237
0.328322	238
0.329037	239
0.329649	240
0.330241	241
0.331257	242
0.331897	243
0.332291	244
0.332679	245
0.334039	246
0.334478	247
0.334881	248
0.335889	249
0.33641	250
0.337231	251
0.338069	252
0.338526	253
0.339383	254
0.340934	255
0.341792	256
0.342278	257
0.342691	258
0.343828	259
0.344326	260
0.34496	261
0.345681	262
0.346347	263
0.347854	264
0.348518	265
0.349095	266
0.349697	267
0.350345	268
0.351208	269
0.351967	270
0.352587	271
0.35337	272
0.353949	273
0.35759	274
0.36492	275
0.378272	276
0.378895	277
0.379347	278
0.379811	279
0.380234	280
0.380718	281
0.381701	282
0.382469	283
0.382988	284
0.383841	285
0.384817	286
0.385552	287
0.386152	288
0.386664	289
0.387942	290
0.388501	291
0.389211	292
0.390171	293
0.39125	294
0.392037	295
0.392539	296
0.392994	297
0.393677	298
0.394381	299
0.395065	300
0.395754	301
0.396411	302
0.397026	151
0.397243	151.007
0.397847	151.013
0.399062	151.02
0.399614	151.026
0.400647	151.033
0.401246	151.04
0.40183	151.046
0.40236	151.053
0.403209	151.06
0.407655	151.066
0.421544	151.073
0.422821	151.079
0.423286	151.086
0.423901	151.093
0.424381	151.099
0.424842	151.106
0.425209	151.113
0.425791	151.119
0.426377	151.126
0.426885	151.132
0.427316	151.139
0.427689	151.146
0.428133	151.152
0.42866	151.159
0.428961	151.166
0.429406	151.172
0.430088	151.179
0.430608	151.185
0.43115	151.192
0.431477	151.199
0.432105	151.205
0.432431	151.212
0.433281	151.219
0.433788	151.225
0.434288	151.232
0.434777	151.238
0.435269	151.245
0.436339	151.252
0.436793	151.258
0.43721	151.265
0.437626	151.272
0.438142	151.278
0.438597	151.285
0.439086	151.291
0.439736	151.298
0.440448	151.305
0.440953	151.311
0.441479	151.318
0.441983	151.325
0.442784	151.331
0.444271	151.338
0.44465	151.344
0.445025	151.351
0.445408	151.358
0.44579	151.364
0.4462	151.371
0.446579	151.377
0.4471	151.384
0.44753	151.391
0.448059	151.397
0.448803	151.404
0.44954	151.411
0.450131	151.417
0.450695	151.424
0.451163	151.43
0.451825	151.437
0.452188	151.444
0.452468	151.45
0.45303	151.457
0.453562	151.464
0.45407	151.47
0.456245	151.477
0.456725	151.483
0.457272	151.49
0.457689	151.497
0.458239	151.503
0.45852	151.51
0.458926	151.517
0.459656	151.523
0.460143	151.53
0.461376	151.536
0.462975	151.543
0.463679	151.55
0.46457	151.556
0.465066	151.563
0.466514	151.57
0.467512	151.576
0.468586	151.583
0.469433	151.589
0.470453	151.596
0.471131	151.603
0.47172	151.609
0.47226	151.616
0.472755	151.623
0.473261	151.629
0.473797	151.636
0.474204	151.642
0.474814	151.649
0.475308	151.656
0.476147	151.662
0.476645	151.669
0.477144	151.675
0.477695	151.682
0.47847	151.689
0.479228	151.695
0.479672	151.702
0.480046	151.709
0.480764	151.715
0.481286	151.722
0.481802	151.728
0.482353	151.735
0.483027	151.742
0.483533	151.748
0.48413	151.755
0.484691	151.762
0.485173	151.768
0.48558	151.775
0.486036	151.781
0.486491	151.788
0.486891	151.795
0.487428	151.801
0.487937	151.808
0.488392	151.815
0.489077	151.821
0.489434	151.828
0.489917	151.834
0.490386	151.841
0.490916	151.848
0.491525	151.854
0.492067	151.861
0.492533	151.868
0.493038	151.874
0.493517	151.881
0.494039	151.887
0.494559	151.894
0.495087	151.901
0.495615	151.907
0.495952	151.914
0.496381	151.921
0.496867	151.927
0.497377	151.934
0.497895	151.94
0.4982	151.947
0.498923	151.954
0.499231	151.96
0.49975	151.967
0.501287	151.974
0.501668	151.98
0.502015	151.987
0.502339	151.993
0.502676	152
0.503735	152.007
0.504603	152.013
0.504926	152.02
0.505202	152.026
0.505988	152.033
0.506728	152.04
0.507621	152.046
0.508313	152.053
0.508772	152.059
0.509459	152.066
0.509916	152.072
0.510606	152.079
0.511696	152.086
0.51263	152.092
0.512969	152.099
0.513592	152.105
0.514333	152.112
0.514951	152.118
0.515821	152.125
0.516386	152.132
0.517227	152.138
0.51826	152.145
0.518802	152.151
0.519785	152.158
