segment	rtt	rttvar	srtt	rto
1	3.59406	1.79703	3.59406	200
2	3.8821	1.41978	3.63006	200
3	4.8859	1.3788	3.78704	200
4	3.63383	1.2256	3.77747	200
5	4.11205	1.11422	3.79838	200
6	4.53582	1.08282	3.82911	200
7	4.99137	1.08944	3.87753	200
8	3.40971	1.05059	3.86291	200
9	4.41139	1.01921	3.88005	200
10	5.08767	1.02863	3.91025	200
11	5.97735	1.08055	3.96192	200
12	5.48177	1.09886	3.99359	200
13	6.10724	1.14114	4.03762	200
14	6.47224	1.18734	4.0811	200
15	7.65734	1.27265	4.14496	200
16	7.22412	1.32911	4.19307	200
17	7.84939	1.40183	4.2502	200
18	7.53203	1.45406	4.29578	200
19	8.05256	1.51802	4.34796	200
20	8.04183	1.57242	4.39413	200
21	9.45352	1.65959	4.45737	200
22	8.89782	1.72279	4.50783	200
23	9.10826	1.78819	4.56011	200
24	8.85572	1.84043	4.60486	200
25	9.81587	1.91065	4.65914	200
26	9.71313	1.9711	4.70773	200
27	10.6003	2.04651	4.76439	200
28	10.5945	2.11408	4.81645	200
29	11.2788	2.19172	4.87415	200
30	10.8392	2.25461	4.92386	200
31	11.3919	2.32484	4.97776	200
32	11.4	2.38886	5.02793	200
33	12.0614	2.46143	5.08288	200
34	12.4132	2.53303	5.13678	200
35	12.7697	2.60803	5.1929	200
36	13.0898	2.68149	5.24774	200
37	13.818	2.76327	5.30726	200
38	14.5628	2.8487	5.36815	200
39	14.7817	2.93508	5.43008	200
40	14.7095	3.01438	5.48808	200
41	15.5071	3.10194	5.5507	200
42	14.895	3.17625	5.60632	200
43	15.6567	3.25809	5.66614	200
44	16.2558	3.3414	5.72631	200
45	17.0201	3.43177	5.79048	200
46	18.4623	3.53221	5.85935	200
47	19.4392	3.64142	5.93315	200
48	20.0004	3.75002	6.00642	200
49	21.22	3.86943	6.08566	200
50	21.138	3.98126	6.16092	200
51	21.7172	4.09701	6.2387	200
52	22.3596	4.21263	6.3162	200
53	22.8405	4.33101	6.39565	200
54	22.3213	4.43837	6.46938	200
55	22.718	4.54772	6.5446	200
56	26.0055	4.68088	6.63148	200
57	27.9059	4.82903	6.72646	200
58	31.6363	5.00214	6.83383	200
59	38.6524	5.23332	6.97097	200
60	50.006	5.54833	7.15029	200
61	50.5902	5.8641	7.33129	200
62	50.4935	6.16489	7.50533	200
63	51.0341	6.46621	7.68085	200
64	51.6488	6.75919	7.8526	200
65	52.4953	7.05516	8.02698	200
66	52.576	7.3392	8.19573	200
67	53.4012	7.62607	8.36696	200
68	53.5367	7.90212	8.53303	200
69	54.0364	8.1786	8.70032	200
70	54.4976	8.44731	8.86388	200
71	55.0899	8.71716	9.02897	200
72	55.1637	8.977	9.18916	200
73	56.162	9.24086	9.35226	200
74	56.1965	9.49494	9.51052	200
75	57.1277	9.75252	9.67139	200
76	56.1775	9.99432	9.82437	200
77	56.88	10.2381	9.97916	200
78	57.4832	10.477	10.1314	200
79	58.2133	10.7181	10.2855	200
80	58.3591	10.9516	10.4358	200
81	59.1783	11.1877	10.5881	200
82	59.1046	11.4154	10.736	200
83	59.8033	11.6449	10.8856	200
84	59.8095	11.8668	11.0312	200
85	60.3354	12.0897	11.1779	200
86	64.4625	12.3292	11.3328	200
87	77.618	12.6429	11.5255	200
88	79.4105	12.9568	11.7184	200
89	79.848	13.2702	11.9119	200
90	79.6586	13.5729	12.1001	200
91	80.4093	13.877	12.2899	200
92	79.1983	14.1652	12.4717	200
93	79.628	14.4532	12.6542	200
94	79.6145	14.7325	12.8322	200
95	80.4525	15.0138	13.0121	200
96	80.4623	15.2869	13.1877	200
97	81.3782	15.5625	13.3653	200
98	80.6853	15.8265	13.5371	200
99	81.6338	16.0932	13.7108	200
100	81.6226	16.3523	13.8806	200
101	82.5043	16.6137	14.0521	200
102	83.3477	16.8719	14.222	200
103	83.849	17.1305	14.3926	200
104	83.3244	17.3796	14.5583	200
105	84.1127	17.6304	14.7255	200
106	84.2078	17.875	14.8894	200
107	85.0524	18.1216	15.0549	200
108	85.4028	18.3634	15.2177	200
109	86.1651	18.6068	15.3819	200
110	86.4972	18.8455	15.5436	200
111	87.4475	19.0867	15.707	200
112	84.6942	19.3095	15.861	200
113	85.204	19.5328	16.0157	200
114	84.3403	19.7468	16.1656	200
115	84.9209	19.9618	16.3164	200
116	81.1148	20.155	16.456	200
117	81.777	20.3497	16.5968	200
118	75.9516	20.515	16.7225	200
119	76.9393	20.6832	16.8501	200
120	65.8257	20.8011	16.9522	200
121	67.0104	20.923	17.0564	200
122	67.2173	21.0428	17.1592	200
123	67.7924	21.1641	17.263	200
124	67.9979	21.2834	17.3653	200
125	68.4802	21.4036	17.4683	200
126	72.4136	21.5367	17.5773	200
127	85.7657	21.7219	17.7126	200
128	92.2856	21.9283	17.8583	200
129	92.9818	22.1361	18.005	200
130	92.6454	22.3381	18.1486	200
131	93.1327	22.5405	18.2928	200
132	93.0951	22.7385	18.4344	200
133	93.8584	22.9381	18.5773	200
134	93.8441	23.1333	18.7177	200
135	94.6034	23.3302	18.8593	200
136	94.4988	23.5225	18.9983	200
137	95.2906	23.7165	19.1386	200
138	95.6248	23.9077	19.2771	200
139	96.5741	24.1011	19.4172	200
140	96.2219	24.2893	19.5543	200
141	96.8619	24.4787	19.6924	200
142	97.0902	24.665	19.8286	200
143	97.8952	24.8531	19.9661	200
144	97.7928	25.037	20.1012	200
145	98.5823	25.2226	20.2374	200
146	98.3474	25.4037	20.3712	200
147	99.1266	25.5864	20.506	200
148	98.9748	25.7651	20.6386	200
149	99.6227	25.9448	20.772	200
150	99.8367	26.1219	20.9038	200
151	100.669	26.3007	21.0367	200
152	101.136	26.4777	21.1685	200
153	101.853	26.656	21.3012	200
154	101.914	26.8312	21.432	200
155	102.684	27.0079	21.5639	200
156	102.689	27.1813	21.6939	200
157	103.424	27.3562	21.8249	200
158	103.495	27.528	21.9541	200
159	104.271	27.7014	22.0844	200
160	108.252	27.8841	22.219	200
161	122.928	28.1117	22.3764	200
162	126.023	28.3449	22.5363	200
163	126.714	28.5789	22.6971	200
164	126.564	28.8084	22.8554	200
165	127.102	29.0384	23.0144	200
166	126.845	29.2637	23.1707	200
167	127.776	29.4906	23.3283	200
168	128.005	29.7144	23.484	200
169	128.61	29.9389	23.6405	200
170	128.782	30.16	23.7951	200
171	129.504	30.3822	23.9505	200
172	125.442	30.589	24.0981	200
173	126.247	30.797	24.2465	200
174	113.748	30.9657	24.3751	200
175	114.497	31.1357	24.5046	200
176	112.638	31.2976	24.6298	200
177	113.385	31.4608	24.7559	200
178	113.921	31.6229	24.8811	200
179	114.427	31.7856	25.0069	200
180	114.737	31.9466	25.1315	200
181	115.494	32.1088	25.257	200
182	115.579	32.2688	25.3811	200
183	116.242	32.4297	25.5059	200
184	116.781	32.5896	25.6299	200
185	117.526	32.7508	25.7548	200
186	117.831	32.9103	25.8785	200
187	118.616	33.0711	26.0032	200
188	118.547	33.2293	26.1262	200
189	119.159	33.3883	26.2499	200
190	119.358	33.5455	26.3724	200
191	120.512	33.7049	26.4963	200
192	120.049	33.8608	26.6181	200
193	121.058	34.0185	26.7411	200
194	120.868	34.1735	26.8624	200
195	121.475	34.3292	26.9843	200
196	121.547	34.4829	27.1049	200
197	122.386	34.638	27.2265	200
198	125.73	34.7993	27.3508	200
199	137.557	34.9897	27.49	200
200	144.975	35.1959	27.6368	200
201	145.776	35.4033	27.7845	200
202	145.455	35.6069	27.9301	200
203	145.91	35.8108	28.0762	200
204	145.22	36.0102	28.2197	200
205	145.721	36.2099	28.3637	200
206	146.441	36.4086	28.507	200
207	146.948	36.6077	28.6508	200
208	147.165	36.8046	28.7932	200
209	147.757	37.0021	28.9362	200
210	148.008	37.1975	29.0779	200
211	148.547	37.3934	29.2202	200
212	148.587	37.5867	29.3609	200
213	149.282	37.7809	29.5023	200
214	149.886	37.9739	29.643	200
215	150.394	38.1673	29.784	200
216	150.063	38.3574	29.9233	200
217	150.344	38.5473	30.0626	200
218	150.048	38.7341	30.2002	200
219	151.512	38.9235	30.3393	200
220	151.111	39.1095	30.4766	200
221	151.409	39.2955	30.614	200
222	151.569	39.4794	30.7502	200
223	152.061	39.6637	30.8868	200
224	152.154	39.8459	31.0222	200
225	152.753	40.0287	31.158	200
226	153.094	40.2099	31.2929	200
227	153.735	40.3918	31.4284	200
228	153.549	40.571	31.5623	200
229	154.39	40.7514	31.6969	200
230	154.743	40.9303	31.8307	200
231	155.509	41.1102	31.9651	200
232	155.406	41.2876	32.0981	200
233	156.157	41.466	32.2318	200
234	155.981	41.6418	32.364	200
