time	cwndsize
0.105006	2
0.210048	3
0.210758	4
0.314976	5
0.316285	6
0.316855	7
0.317389	8
0.42002	9
0.421185	10
0.421803	11
0.423397	12
0.42457	13
0.425131	14
0.425808	15
0.426382	16
0.525025	17
0.526509	18
0.527635	19
0.528761	20
0.529506	21
0.530991	22
0.531675	23
0.532497	24
0.533706	25
0.534487	26
0.535247	27
0.53592	28
0.536638	29
0.53739	30
0.538163	31
0.538729	32
0.629876	33
0.630558	34
0.632284	35
0.633435	36
0.634459	37
0.635966	38
0.6376	39
0.640754	40
0.649461	41
0.653671	42
0.654254	43
0.654749	44
0.655295	45
0.655679	46
0.656061	47
0.656437	48
0.656785	49
0.65714	50
0.657602	51
0.658016	52
0.660241	53
0.661444	54
0.661947	55
0.662476	56
0.663154	57
0.663744	58
0.664343	59
0.665007	60
0.665565	61
0.666128	62
0.666619	63
0.667227	64
0.735145	65
0.735705	66
0.736947	67
0.737969	68
0.739228	69
0.739787	70
0.740761	71
0.741734	72
0.7432	73
0.74378	74
0.74428	75
0.744791	76
0.749045	77
0.751516	78
0.752151	79
0.752706	80
0.753527	81
0.754123	82
0.757226	83
0.757976	84
0.759286	85
0.760057	86
0.761053	87
0.762005	88
0.763665	89
0.764878	90
0.766081	91
0.767567	92
0.76841	93
0.768982	94
0.770656	95
0.771768	96
0.772608	97
0.773411	98
0.774248	99
0.774822	100
0.775699	101
0.776218	102
0.777268	103
0.777709	104
0.778331	105
0.779058	106
0.780063	107
0.780505	108
0.781446	109
0.78195	110
0.782904	111
0.78346	112
0.784325	113
0.784963	114
0.786041	115
0.787102	116
0.78743	117
0.788148	118
0.788819	119
0.78923	120
0.789999	121
0.790873	122
0.792037	123
0.792575	124
0.793276	125
0.793637	126
0.798427	127
0.799028	128
0.839636	129
0.84064	130
0.842209	131
0.84296	132
0.84367	133
0.85071	134
0.857151	135
0.863458	136
0.867332	137
0.871635	138
0.875072	139
0.880761	140
0.887616	141
0.903505	142
0.919385	143
0.920396	144
0.921227	145
0.922137	146
0.922737	147
0.923143	148
0.923595	149
0.923963	150
0.92444	151
0.925425	152
0.925864	153
0.926281	154
0.926906	155
0.927433	156
0.927919	157
0.928522	158
0.929039	159
0.929488	160
0.930036	161
0.931323	162
0.931801	163
0.932547	164
0.933979	165
0.935026	166
0.935522	167
0.935955	168
0.936386	169
0.936804	170
0.937293	171
0.937752	172
0.938258	173
0.938734	174
0.939207	175
0.939666	176
0.940102	177
0.940572	178
0.94102	179
