time	pps	kbps
0.10015	7910	278685
0.200309	12200	429830
0.300402	9920	349501
0.400589	9330	328715
0.500763	8080	284675
0.600974	7610	268116
0.701181	6500	229008
0.801463	6700	236054
0.90165	7080	249443
1.00197	6380	224780
1.10224	6180	217734
1.20254	6080	214211
1.30275	5540	195185
1.40294	5270	185673
1.5032	5350	188491
1.60444	5470	192719
1.70548	5210	183559
1.80576	5490	193424
1.90596	5450	192014
2.00615	5350	188491
2.10636	4990	175808
2.20665	4990	175808
2.30686	4770	168057
2.4071	4740	167000
2.50744	4750	167352
2.60776	5120	180388
2.70807	5110	180036
2.8083	5040	177569
2.90861	4830	170171
3.00885	4900	172637
3.10923	4870	171580
3.2097	4430	156078
3.31001	4310	151850
3.41021	4330	152555
3.51053	4420	155725
3.61078	4080	143747
3.71102	4390	154668
3.81133	4300	151498
3.91179	4330	152555
4.01204	4350	153259
4.11239	4240	149384
4.21276	4240	149384
4.31345	4240	149384
4.41368	4170	146917
4.51392	4310	151850
4.61429	4270	150441
4.71467	4360	153612
4.81509	4260	150088
4.91546	4000	140928
5.01577	3870	136348
5.11612	3710	130711
5.21917	3960	139519
5.3203	3830	134939
5.4206	3980	140223
5.52088	4050	142690
5.62121	3880	136700
5.72172	3840	135291
5.82215	3680	129654
5.92267	3760	132472
6.02312	3580	126131
6.12357	3780	133177
6.22392	3680	129654
6.32431	3630	127892
6.42469	3590	126483
6.52499	3560	125426
6.62551	3520	124017
6.72603	3580	126131
6.82637	3580	126131
6.92669	3440	121198
7.02697	3570	125778
7.12749	3360	118380
7.2279	3300	116266
7.32835	3460	121903
7.42877	3480	122607
7.52922	3400	119789
7.6297	3330	117323
7.73008	3370	118732
7.83046	3260	114856
7.93317	3390	119436
8.03371	3340	117675
8.13405	3340	117675
8.23478	3340	117675
8.33524	3380	119084
8.43567	3270	115209
8.53605	3220	113447
8.63651	3160	111333
8.7368	3320	116970
8.83728	3190	112390
8.93773	3320	116970
9.03825	3140	110628
9.13869	3170	111685
9.23924	3200	112742
9.3396	3310	116618
9.44006	3050	107458
9.54061	3180	112038
9.64102	3140	110628
9.74159	3050	107458
9.84206	3010	106048
9.94251	3090	108867
10.043	3200	112742
10.1436	3020	106401
10.2442	2990	105344
10.3449	3110	109572
10.4454	3120	109924
10.5458	3020	106401
10.6477	2950	103934
10.7484	3130	110276
10.8489	4170	146917
