segment	time	rtt	rttvar	srtt	rto
1	0.00144717	0.998617	0.499308	0.998617	200
2	0.00259588	0.793674	0.425717	0.972999	200
3	0.00307049	1.26616	0.392578	1.00964	200
4	0.00418801	1.29392	0.37904	1.02741	200
5	0.00465778	1.70623	0.416512	1.06984	200
6	0.00504465	1.77928	0.440923	1.0994	200
7	0.00540331	2.0685	0.484938	1.13978	200
8	0.00575434	1.31188	0.465386	1.14516	200
9	0.00610587	1.5792	0.463427	1.15872	200
10	0.00650309	1.61028	0.462834	1.17001	200
11	0.0068595	1.92809	0.477596	1.18896	200
12	0.00720948	1.98137	0.490713	1.20547	200
13	0.00757425	2.26453	0.514395	1.22753	200
14	0.00792616	2.33491	0.535573	1.24731	200
15	0.00810931	2.46173	0.563858	1.27261	200
16	0.00844936	2.50974	0.587904	1.2947	200
17	0.0087971	2.7881	0.620243	1.32137	200
18	0.00912969	2.85253	0.648709	1.34529	200
19	0.00948051	3.12185	0.683954	1.37305	200
20	0.00984174	3.15901	0.714566	1.39786	200
21	0.0102448	3.48951	0.752818	1.42691	200
22	0.0105823	3.54141	0.790643	1.45627	200
23	0.010984	3.87435	0.831329	1.4865	200
24	0.0113325	3.94341	0.871968	1.51721	200
25	0.0116718	4.2032	0.913196	1.54773	200
26	0.011951	4.20266	0.952781	1.5779	200
27	0.0123013	4.478	0.997038	1.61086	200
28	0.0126411	4.35819	1.0335	1.63948	200
29	0.0129311	4.57943	1.07322	1.6701	200
30	0.0132814	4.65955	1.11314	1.70124	200
31	0.0137031	5.00559	1.15528	1.73301	200
32	0.0140327	5.06354	1.19711	1.76504	200
33	0.0151166	6.07486	1.25697	1.80648	200
34	0.0171531	7.83059	1.34865	1.8644	200
35	0.0176182	8.24506	1.4385	1.92137	200
36	0.018059	8.40718	1.52864	1.97928	200
37	0.0184636	8.68989	1.62117	2.0392	200
38	0.0189104	8.90177	1.70853	2.09639	200
39	0.0192775	9.1517	1.79764	2.15518	200
40	0.0197707	9.32887	1.88724	2.21496	200
41	0.0259771	15.0386	2.06951	2.32183	200
42	0.0266992	15.8198	2.24808	2.42728	200
43	0.0270965	15.9423	2.42413	2.53286	200
44	0.0275795	16.3458	2.60208	2.64078	200
45	0.0279476	16.4538	2.77725	2.74869	200
46	0.0284143	16.8453	2.94371	2.85234	200
47	0.0287869	16.9534	3.10779	2.95603	200
48	0.0292373	17.1252	3.27046	3.06021	200
49	0.0296196	17.4371	3.43379	3.16593	200
50	0.0300812	17.6167	3.5868	3.26628	200
51	0.0306287	17.9426	3.74082	3.3682	200
52	0.0311667	18.2568	3.89565	3.47159	200
53	0.03186	18.6634	4.05254	3.57709	200
54	0.0323984	19.1261	4.21221	3.68507	200
55	0.0332776	19.7109	4.36766	3.7905	200
56	0.0341119	20.3947	4.52866	3.89974	200
57	0.0348224	20.911	4.69291	4.01165	200
58	0.0363595	22.0829	4.86894	4.13054	200
59	0.0370505	22.8069	5.05062	4.25341	200
60	0.0372837	22.0061	5.20939	4.36437	200
61	0.037448	20.0964	5.34092	4.46269	200
62	0.0376654	20.2295	5.47125	4.56124	200
63	0.0378526	20.043	5.59638	4.658	200
64	0.038014	20.1483	5.72005	4.75481	200
65	0.0382203	19.9925	5.83336	4.84551	200
66	0.038384	19.7491	5.94134	4.93422	200
67	0.0386073	19.8683	6.04839	5.02312	200
68	0.0388469	19.7875	6.15216	5.111	200
69	0.0390414	19.5878	6.25126	5.19717	200
70	0.0392295	19.6905	6.34492	5.27952	200
71	0.0393605	19.4367	6.43369	5.35996	200
72	0.0394733	13.2359	6.45008	5.40471	200
73	0.0396164	13.2599	6.46605	5.44934	200
74	0.0397267	12.8601	6.47679	5.49145	200
75	0.0398351	12.5786	6.48372	5.53172	200
76	0.0399774	12.6281	6.49038	5.57028	200
77	0.0400887	12.3564	6.4936	5.60716	200
78	0.0402006	12.0844	6.49342	5.64237	200
79	0.0403455	12.141	6.49348	5.67769	200
80	0.0404571	11.8952	6.49048	5.71148	200
81	0.0405663	11.6354	6.48432	5.74367	200
82	0.0407103	11.6838	6.47865	5.77461	200
83	0.0408211	11.4391	6.47017	5.80411	200
84	0.0409298	11.1583	6.45854	5.832	200
85	0.0410923	11.2326	6.44752	5.86013	200
86	0.0412061	10.9566	6.43345	5.88667	200
87	0.0413184	10.4846	6.41433	5.91062	200
88	0.0414685	10.0873	6.39195	5.9315	200
89	0.0415827	10.0682	6.3694	5.95218	200
90	0.0416941	9.63303	6.34251	5.97059	200
91	0.0418392	9.23699	6.31175	5.98692	200
92	0.0419535	9.20149	6.28078	6.00299	200
93	0.0420662	8.49048	6.24285	6.01543	200
94	0.0422066	7.84212	6.20038	6.02421	200
95	0.0423214	7.81056	6.15794	6.0328	200
96	0.0424472	7.4311	6.11218	6.03952	200
97	0.0425914	5.71351	6.05654	6.03796	200
98	0.0427059	5.56722	6.00283	6.03569	200
